corem index	corem ID	number of genes 	number of ribosomal genes	ribosomal protein names	ribosomal class																				
1	8655	4	2	S4,S11	Green																				
2	7462	7	4	S2,S4,S11,L7AE	Green, Blue																				
3	12578	6	2	S9,L18E	Green																				
4	7474	10	3	S9,L13,L18E	Green																				
5	7473	8	3	S2,S9,L18E	Green																				
6	20960	20	4	S2,S9,S11,L18E	Green																				
7	28604	10	7	S2,S4,S6E,S11,S13,L13,L18E	Green, Magenta																				
8	20806	15	7	S2,S4,S9,S11,S13,L13,L18E	Green																				
9	7469	11	7	S2,S4,S9,S11,S13,L13,L18E	Green																				
10	1842	11	2	S6E, S10-like	Magenta																				
11	8639	6	1	S10-like	Magenta																				
12	4277	6	1	S10-like	Magenta																				
13	4084	8	1	S10-like	Magenta																				
14	3418	11	1	S10-like	Magenta																				
15	1852	7	1	S10-like	Magenta																				
16	1845	4	1	S10-like	Magenta																				
17	1841	7	1	S10-like	Magenta																				
18	1837	27	1	S10-like	Magenta																				
19	1674	7	1	S10-like	Magenta																				
20	1808	8	1	S10-like	Magenta																				
21	2978	25	2	S6E, S8E	Magenta																				
22	8630	6	1	S6E	Magenta																				
23	753	7	1	S6E	Magenta																				
24	7317	9	1	S6E	Magenta																				
25	20780	8	1	S6E	Magenta																				
26	3403	14	1	S6E	Magenta																				
27	2980	29	2	S8E,S10-like	Magenta																				
28	3597	31	1	S8E	Magenta																				
29	3428	24	1	S8E	Magenta																				
30	3278	42	1	S8E	Magenta																				
31	31951	50	1	S8E	Magenta																				
32	2976	33	1	S8E	Magenta																				
33	21855	20	1	S8E	Magenta																				
34	0	377	1	S8E	Magenta																				
35	1143	138	1	S8E	Magenta																				
36	21857	13	3	S28E,L7AE,L24E	Blue																				
37	1838	11	5	S10,S10-like,L7AE,L10E,L37AE	Blue, Magenta																				
38	3404	12	4	L7AE,L10E,L24E,L37AE	Blue																				
39	7316	9	5	S28E,L7AE,L10E,L24E,L37AE	Blue																				
40	20779	12	5	S10,S28E,L7AE,L24E,L37AE	Blue																				
41	635	16	7	S6E,S10,S28E,L7AE,L10E,L24E,L37AE	Blue, Magenta																				
42	2977	42	7	S8E,S10,S28E,L7AE,L10E,L24E,L37AE	Blue, Magenta																				
43	639	9	6	S10,S28E,L7AE,L10E,L24E,L37AE	Blue																				
44	3280	17	6	S10,S28E,L7AE,L10E,L24E,L37AE	Blue																				
